traj_ind,is_fail_linear_any,is_fail_log_any,is_fail_linear_all,is_fail_log_all,is_fail_linear_half,is_fail_log_half,num_time_fails_linear,num_time_fails_log
1,true,true,false,false,false,false,1,1
2,true,true,false,false,false,false,1,2
3,true,true,false,false,false,false,1,1
4,false,true,false,false,false,false,0,1
5,true,true,false,false,false,false,3,2
6,true,true,false,false,false,false,1,2
7,true,true,false,false,false,false,2,2
8,true,true,false,false,false,false,1,2
9,true,true,false,false,false,false,1,2
10,true,true,false,false,false,false,3,3
11,true,true,false,false,false,true,2,5
12,true,true,false,false,true,false,4,3
13,true,true,false,false,false,false,3,1
14,true,true,false,false,false,false,2,1
15,true,true,false,false,false,false,2,1
16,true,true,false,false,false,false,1,2
17,true,true,false,false,false,false,2,1
18,false,true,false,false,false,false,0,1
19,true,true,false,false,false,false,2,1
20,true,false,false,false,false,false,1,0
21,true,true,false,false,true,false,4,3
22,true,true,false,false,false,false,2,1
23,true,true,false,false,false,false,2,2
24,true,true,false,false,false,false,3,3
25,true,true,false,false,true,false,4,3
26,true,true,false,false,false,false,2,3
27,true,true,false,false,false,false,3,2
28,true,true,false,false,false,false,2,2
29,true,true,false,false,false,false,2,2
30,true,true,false,false,false,false,2,1
31,true,true,false,false,false,false,2,3
32,true,true,false,false,false,false,2,2
33,true,true,false,false,false,false,3,2
34,true,false,false,false,false,false,2,0
35,true,false,false,false,false,false,1,0
36,true,true,false,false,false,false,2,1
37,true,true,false,false,false,false,2,3
38,true,true,false,false,false,false,3,1
39,true,true,false,false,false,false,2,1
40,true,true,false,false,false,false,1,1
41,true,true,false,false,false,false,1,1
42,true,true,false,false,true,false,4,1
43,false,true,false,false,false,false,0,2
44,true,true,false,false,false,false,2,1
45,true,true,false,false,false,false,1,3
46,true,true,false,false,false,false,2,3
47,true,false,false,false,false,false,2,0
48,true,true,false,false,false,false,1,2
49,true,true,false,false,false,false,2,1
50,true,true,false,false,false,false,2,3
51,true,true,false,false,true,false,4,2
52,true,false,false,false,false,false,2,0
53,true,true,false,false,false,false,3,1
54,true,true,false,false,false,false,3,1
55,true,true,false,false,false,false,1,2
56,true,true,false,false,false,false,2,1
57,true,true,false,false,false,false,2,3
58,true,true,false,false,false,false,2,1
59,true,true,false,false,false,false,2,1
60,true,true,false,false,false,false,1,1
61,true,true,false,false,false,false,1,2
62,true,true,false,false,false,false,1,2
63,true,true,false,false,false,false,2,2
64,true,true,false,false,false,true,2,4
65,true,true,false,false,false,false,3,2
66,true,true,false,false,false,false,3,1
67,true,false,false,false,false,false,1,0
68,true,true,false,false,true,false,5,2
69,true,true,false,false,false,false,2,1
70,true,true,false,false,false,false,1,2
71,true,true,false,false,false,false,2,1
72,true,true,false,false,false,true,2,4
73,true,true,false,false,false,false,3,3
74,true,true,false,false,false,false,3,3
75,true,false,false,false,false,false,2,0
76,true,true,false,false,false,false,1,2
77,true,true,false,false,false,false,3,2
78,true,true,false,false,true,false,5,2
79,true,true,false,false,false,false,2,1
80,true,true,false,false,false,false,1,1
81,false,true,false,false,false,false,0,2
82,true,true,false,false,false,false,2,3
83,false,true,false,false,false,false,0,2
84,true,true,false,false,false,false,3,2
85,true,true,false,false,false,false,1,1
86,true,true,false,false,false,false,1,2
87,true,true,false,false,false,false,1,1
88,true,false,false,false,false,false,2,0
89,true,true,false,false,false,false,1,2
90,true,true,false,false,true,false,4,2
91,true,true,false,false,false,true,1,4
92,false,false,false,false,false,false,0,0
93,true,true,false,false,false,false,1,1
94,false,false,false,false,false,false,0,0
95,true,true,false,false,false,false,1,1
96,true,true,false,false,true,false,4,2
97,true,true,false,false,false,false,3,3
98,true,true,false,false,false,false,3,2
99,true,false,false,false,false,false,2,0
100,true,true,false,false,false,false,1,2
